Faculty Name,Faculty Title,Faculty ID,Department,College,Website Link
Debbra Jennings,Adjunct Faculty,0,Multidisciplinary Innovation,College of Applied and Collaborative Studies,https://facultyinfo.unt.edu/faculty-profile?profile=dkm0091#current-teaching
Ellis E. Kirkdorffer,Adjunct Faculty,1,Multidisciplinary Innovation,College of Applied and Collaborative Studies,https://facultyinfo.unt.edu/faculty-profile?profile=eek0036#current-teaching
Heather Treadway,Adjunct Faculty,2,Multidisciplinary Innovation,College of Applied and Collaborative Studies,https://facultyinfo.unt.edu/faculty-profile?profile=ht0140#current-teaching
Janet L. Johnson,Adjunct Faculty,3,Multidisciplinary Innovation,College of Applied and Collaborative Studies,https://facultyinfo.unt.edu/faculty-profile?profile=jlj0057#current-teaching
Jason L. Cooley,Adjunct Faculty,4,Multidisciplinary Innovation,College of Applied and Collaborative Studies,https://facultyinfo.unt.edu/faculty-profile?profile=jlc0755#current-teaching
Justin Kramer,Adjunct Faculty,5,Multidisciplinary Innovation,College of Applied and Collaborative Studies,https://facultyinfo.unt.edu/faculty-profile?profile=jk0751#current-teaching
Kevin D. Sanders,Adjunct Faculty,6,Multidisciplinary Innovation,College of Applied and Collaborative Studies,https://facultyinfo.unt.edu/faculty-profile?profile=kds0238#current-teaching
Lalla Shackelford,Adjunct Faculty,7,Multidisciplinary Innovation,College of Applied and Collaborative Studies,https://facultyinfo.unt.edu/faculty-profile?profile=les0254#current-teaching
Megan S. Cunningham,Adjunct Faculty,8,Multidisciplinary Innovation,College of Applied and Collaborative Studies,https://facultyinfo.unt.edu/faculty-profile?profile=msc0197#current-teaching
Michael A. Bailey,Adjunct Faculty,9,Multidisciplinary Innovation,College of Applied and Collaborative Studies,https://facultyinfo.unt.edu/faculty-profile?profile=mab0830#current-teaching
Niraj Desai,Adjunct Faculty,10,Multidisciplinary Innovation,College of Applied and Collaborative Studies,https://facultyinfo.unt.edu/faculty-profile?profile=nd0591#current-teaching
Robert Brown,Adjunct Faculty,11,Multidisciplinary Innovation,College of Applied and Collaborative Studies,https://facultyinfo.unt.edu/faculty-profile?profile=rab0204#current-teaching
Trapper Pace,Adjunct Faculty,12,Multidisciplinary Innovation,College of Applied and Collaborative Studies,https://facultyinfo.unt.edu/faculty-profile?profile=tkp0028#current-teaching
Shari M. Childers,Associate Dean,13,Multidisciplinary Innovation,College of Applied and Collaborative Studies,https://facultyinfo.unt.edu/faculty-profile?profile=smc0322#current-teaching
Pamela K. Bracey,Chair,14,Multidisciplinary Innovation,College of Applied and Collaborative Studies,https://facultyinfo.unt.edu/faculty-profile?profile=pks0047#current-teaching
Danielle L. Dumaine,Clinical Assistant Professor,15,Multidisciplinary Innovation,College of Applied and Collaborative Studies,https://facultyinfo.unt.edu/faculty-profile?profile=dld0302#current-teaching
Dev Mukherjee,Clinical Assistant Professor,16,Multidisciplinary Innovation,College of Applied and Collaborative Studies,https://facultyinfo.unt.edu/faculty-profile?profile=debasish#current-teaching
Dianne Y. Gravley,Clinical Assistant Professor,17,Multidisciplinary Innovation,College of Applied and Collaborative Studies,https://facultyinfo.unt.edu/faculty-profile?profile=dyg0001#current-teaching
Elizabeth N. Ranieri,Clinical Assistant Professor,18,Multidisciplinary Innovation,College of Applied and Collaborative Studies,https://facultyinfo.unt.edu/faculty-profile?profile=enr0063#current-teaching
Kelsey M. Carroll,Clinical Assistant Professor,19,Multidisciplinary Innovation,College of Applied and Collaborative Studies,https://facultyinfo.unt.edu/faculty-profile?profile=kmc0326#current-teaching
Les Stanaland,Clinical Assistant Professor,20,Multidisciplinary Innovation,College of Applied and Collaborative Studies,https://facultyinfo.unt.edu/faculty-profile?profile=lss0076#current-teaching
Melissa M. McKay,Clinical Assistant Professor,21,Multidisciplinary Innovation,College of Applied and Collaborative Studies,https://facultyinfo.unt.edu/faculty-profile?profile=mmm0240#current-teaching
Miranda Williams,Clinical Assistant Professor,22,Multidisciplinary Innovation,College of Applied and Collaborative Studies,https://facultyinfo.unt.edu/faculty-profile?profile=mw0596#current-teaching
Shomik Chakrabarti,Clinical Assistant Professor,23,Multidisciplinary Innovation,College of Applied and Collaborative Studies,https://facultyinfo.unt.edu/faculty-profile?profile=sc2523#current-teaching
Adam Guerrero,Clinical Associate Professor,24,Multidisciplinary Innovation,College of Applied and Collaborative Studies,https://facultyinfo.unt.edu/faculty-profile?profile=ag2345#current-teaching
Agustin Palao Mendizabal,Clinical Associate Professor,25,Multidisciplinary Innovation,College of Applied and Collaborative Studies,https://facultyinfo.unt.edu/faculty-profile?profile=apm0166#current-teaching
Bill T. Morgan,Clinical Associate Professor,26,Multidisciplinary Innovation,College of Applied and Collaborative Studies,https://facultyinfo.unt.edu/faculty-profile?profile=bm0215#current-teaching
Curtis Williams,Clinical Associate Professor,27,Multidisciplinary Innovation,College of Applied and Collaborative Studies,https://facultyinfo.unt.edu/faculty-profile?profile=cw0800#current-teaching
LeeAnn Derdeyn,Clinical Associate Professor,28,Multidisciplinary Innovation,College of Applied and Collaborative Studies,https://facultyinfo.unt.edu/faculty-profile?profile=ld1099#current-teaching
Magdalena Grohman,Clinical Associate Professor,29,Multidisciplinary Innovation,College of Applied and Collaborative Studies,https://facultyinfo.unt.edu/faculty-profile?profile=mgg0157#current-teaching
Rochelle Gregory,Clinical Associate Professor,30,Multidisciplinary Innovation,College of Applied and Collaborative Studies,https://facultyinfo.unt.edu/faculty-profile?profile=rdg0188#current-teaching
Sammer M. Tekarli,Clinical Associate Professor,31,Multidisciplinary Innovation,College of Applied and Collaborative Studies,https://facultyinfo.unt.edu/faculty-profile?profile=smt0112#current-teaching
Sarvjeet Singh,Clinical Associate Professor,32,Multidisciplinary Innovation,College of Applied and Collaborative Studies,https://facultyinfo.unt.edu/faculty-profile?profile=ss2070#current-teaching
Susan E. Watson,Clinical Associate Professor,33,Multidisciplinary Innovation,College of Applied and Collaborative Studies,https://facultyinfo.unt.edu/faculty-profile?profile=sew0286#current-teaching
Suz Tyrrell,Clinical Associate Professor,34,Multidisciplinary Innovation,College of Applied and Collaborative Studies,https://facultyinfo.unt.edu/faculty-profile?profile=st1214#current-teaching
Thom DeWitt,Clinical Associate Professor,35,Multidisciplinary Innovation,College of Applied and Collaborative Studies,https://facultyinfo.unt.edu/faculty-profile?profile=tjd0172#current-teaching
Thomas Brindle,Clinical Associate Professor,36,Multidisciplinary Innovation,College of Applied and Collaborative Studies,https://facultyinfo.unt.edu/faculty-profile?profile=tb0447#current-teaching
Tina Ross,Clinical Associate Professor,37,Multidisciplinary Innovation,College of Applied and Collaborative Studies,https://facultyinfo.unt.edu/faculty-profile?profile=clr0311#current-teaching
Ajay Aggarwal,Clinical Professor,38,Multidisciplinary Innovation,College of Applied and Collaborative Studies,https://facultyinfo.unt.edu/faculty-profile?profile=aka0248#current-teaching
Andrew Snyder,Clinical Professor,39,Multidisciplinary Innovation,College of Applied and Collaborative Studies,https://facultyinfo.unt.edu/faculty-profile?profile=cas0883#current-teaching
Kara A. Fulton,Clinical Professor,40,Multidisciplinary Innovation,College of Applied and Collaborative Studies,https://facultyinfo.unt.edu/faculty-profile?profile=kaf0213#current-teaching
Christine M. Ellis,Adjunct Faculty,41,Accounting,College of Business,https://facultyinfo.unt.edu/faculty-profile?profile=cmj0093#current-teaching
Christopher Jr. Mitchell,Adjunct Faculty,42,Accounting,College of Business,https://facultyinfo.unt.edu/faculty-profile?profile=cm0436#current-teaching
Dee A. Wilson,Adjunct Faculty,43,Accounting,College of Business,https://facultyinfo.unt.edu/faculty-profile?profile=daw0006#current-teaching
Kevin A. Kleiner,Adjunct Faculty,44,Accounting,College of Business,https://facultyinfo.unt.edu/faculty-profile?profile=kak0362#current-teaching
Philip Aguinaga Jr.,Adjunct Faculty,45,Accounting,College of Business,https://facultyinfo.unt.edu/faculty-profile?profile=pta0005#current-teaching
Robert J. Widmer,Adjunct Faculty,46,Accounting,College of Business,https://facultyinfo.unt.edu/faculty-profile?profile=rjw0091#current-teaching
Sarah E. Spath,Adjunct Faculty,47,Accounting,College of Business,https://facultyinfo.unt.edu/faculty-profile?profile=ses0496#current-teaching
Blair B. Marquardt,Assistant Professor,48,Accounting,College of Business,https://facultyinfo.unt.edu/faculty-profile?profile=bbm0052#current-teaching
Lisa A. McLuckie Thain,Assistant Professor,49,Accounting,College of Business,https://facultyinfo.unt.edu/faculty-profile?profile=lam0605#current-teaching
Michael J. Neel,Assistant Professor,50,Accounting,College of Business,https://facultyinfo.unt.edu/faculty-profile?profile=mjn0053#current-teaching
Pradeep Sapkota,Assistant Professor,51,Accounting,College of Business,https://facultyinfo.unt.edu/faculty-profile?profile=ps0506#current-teaching
Yiting Cao,Assistant Professor,52,Accounting,College of Business,https://facultyinfo.unt.edu/faculty-profile?profile=yc0838#current-teaching
Jared A. Eutsler,Associate Professor,53,Accounting,College of Business,https://facultyinfo.unt.edu/faculty-profile?profile=jae0188#current-teaching
Neil A. Wilner,Associate Professor,54,Accounting,College of Business,https://facultyinfo.unt.edu/faculty-profile?profile=naw0008#current-teaching
Peter C. Kipp,Associate Professor,55,Accounting,College of Business,https://facultyinfo.unt.edu/faculty-profile?profile=pck0021#current-teaching
Richard A. Cazier,Associate Professor,56,Accounting,College of Business,https://facultyinfo.unt.edu/faculty-profile?profile=rac0338#current-teaching
Ananth Seetharaman,Chair,57,Accounting,College of Business,https://facultyinfo.unt.edu/faculty-profile?profile=as1320#current-teaching
Jose V. Lineros,Clinical Assistant Professor,58,Accounting,College of Business,https://facultyinfo.unt.edu/faculty-profile?profile=jvl0017#current-teaching
Peggy D. Jimenez,Clinical Assistant Professor,59,Accounting,College of Business,https://facultyinfo.unt.edu/faculty-profile?profile=pdj0030#current-teaching
Scott Stovall,Clinical Assistant Professor,60,Accounting,College of Business,https://facultyinfo.unt.edu/faculty-profile?profile=oss0002#current-teaching
Kyndell Brianna Bailey,Lecturer,61,Accounting,College of Business,https://facultyinfo.unt.edu/faculty-profile?profile=kbb0160#current-teaching
Nikki Sharma,Lecturer,62,Accounting,College of Business,https://facultyinfo.unt.edu/faculty-profile?profile=ns0716#current-teaching
Casey M. Schwab,Professor,63,Accounting,College of Business,https://facultyinfo.unt.edu/faculty-profile?profile=cms0661#current-teaching
Chad Proell,Professor,64,Accounting,College of Business,https://facultyinfo.unt.edu/faculty-profile?profile=cap0490#current-teaching
Govind S. Iyer,Professor,65,Accounting,College of Business,https://facultyinfo.unt.edu/faculty-profile?profile=gsi0002#current-teaching
Jesse C. Robertson,Professor,66,Accounting,College of Business,https://facultyinfo.unt.edu/faculty-profile?profile=jcr0155#current-teaching
Lili Sun,Professor,67,Accounting,College of Business,https://facultyinfo.unt.edu/faculty-profile?profile=ls0248#current-teaching
Paul D. Hutchison,Professor,68,Accounting,College of Business,https://facultyinfo.unt.edu/faculty-profile?profile=pdh0001#current-teaching
Allison M. McLeod,Senior Lecturer,69,Accounting,College of Business,https://facultyinfo.unt.edu/faculty-profile?profile=amm0520#current-teaching
Anne M. Grieser,Senior Lecturer,70,Accounting,College of Business,https://facultyinfo.unt.edu/faculty-profile?profile=amm0380#current-teaching
Hillary G. Wang,Senior Lecturer,71,Accounting,College of Business,https://facultyinfo.unt.edu/faculty-profile?profile=hgj0007#current-teaching
Madhuri N. Bandla,Senior Lecturer,72,Accounting,College of Business,https://facultyinfo.unt.edu/faculty-profile?profile=mnb0033#current-teaching
Adriano Gomes Ferreira,Teaching Fellow,73,Accounting,College of Business,https://facultyinfo.unt.edu/faculty-profile?profile=agf0087#current-teaching
Leah Conrad,Teaching Fellow,74,Accounting,College of Business,https://facultyinfo.unt.edu/faculty-profile?profile=lmc0393#current-teaching
Md Enayet Hossain,Teaching Fellow,75,Accounting,College of Business,https://facultyinfo.unt.edu/faculty-profile?profile=mh0913#current-teaching
Md. Nazmul Islam,Teaching Fellow,76,Accounting,College of Business,https://facultyinfo.unt.edu/faculty-profile?profile=mi0196#current-teaching
Shaily Das,Teaching Fellow,77,Accounting,College of Business,https://facultyinfo.unt.edu/faculty-profile?profile=sd1438#current-teaching
Yu Cao,Teaching Fellow,78,Accounting,College of Business,https://facultyinfo.unt.edu/faculty-profile?profile=yc0562#current-teaching
Aaron Layman,Adjunct Faculty,79,"Finance, Insurance, Real Estate and Law",College of Business,https://facultyinfo.unt.edu/faculty-profile?profile=agl0138#current-teaching
Alyssa A. Kenyon-Cordero,Adjunct Faculty,80,"Finance, Insurance, Real Estate and Law",College of Business,https://facultyinfo.unt.edu/faculty-profile?profile=aak0178#current-teaching
Amy Ferman,Adjunct Faculty,81,"Finance, Insurance, Real Estate and Law",College of Business,https://facultyinfo.unt.edu/faculty-profile?profile=aen0009#current-teaching
Andrew Shay,Adjunct Faculty,82,"Finance, Insurance, Real Estate and Law",College of Business,https://facultyinfo.unt.edu/faculty-profile?profile=ars0265#current-teaching
Audrey Lero,Adjunct Faculty,83,"Finance, Insurance, Real Estate and Law",College of Business,https://facultyinfo.unt.edu/faculty-profile?profile=all0348#current-teaching
Byron R. Berry,Adjunct Faculty,84,"Finance, Insurance, Real Estate and Law",College of Business,https://facultyinfo.unt.edu/faculty-profile?profile=brb0251#current-teaching
Cory Mangum,Adjunct Faculty,85,"Finance, Insurance, Real Estate and Law",College of Business,https://facultyinfo.unt.edu/faculty-profile?profile=cm0156#current-teaching
David A. Ragan,Adjunct Faculty,86,"Finance, Insurance, Real Estate and Law",College of Business,https://facultyinfo.unt.edu/faculty-profile?profile=dr0009#current-teaching
David Dugger,Adjunct Faculty,87,"Finance, Insurance, Real Estate and Law",College of Business,https://facultyinfo.unt.edu/faculty-profile?profile=djd0242#current-teaching
David Smith,Adjunct Faculty,88,"Finance, Insurance, Real Estate and Law",College of Business,https://facultyinfo.unt.edu/faculty-profile?profile=dgr0005#current-teaching
Edwin Restrepo,Adjunct Faculty,89,"Finance, Insurance, Real Estate and Law",College of Business,https://facultyinfo.unt.edu/faculty-profile?profile=er1084#current-teaching
Elizabeth Hubbard,Adjunct Faculty,90,"Finance, Insurance, Real Estate and Law",College of Business,https://facultyinfo.unt.edu/faculty-profile?profile=eah0330#current-teaching
Enya He,Adjunct Faculty,91,"Finance, Insurance, Real Estate and Law",College of Business,https://facultyinfo.unt.edu/faculty-profile?profile=mh0286#current-teaching
Farhana Rahman,Adjunct Faculty,92,"Finance, Insurance, Real Estate and Law",College of Business,https://facultyinfo.unt.edu/faculty-profile?profile=fr0286#current-teaching
Grant Garrett,Adjunct Faculty,93,"Finance, Insurance, Real Estate and Law",College of Business,https://facultyinfo.unt.edu/faculty-profile?profile=gag0020#current-teaching
Jack Beaumont,Adjunct Faculty,94,"Finance, Insurance, Real Estate and Law",College of Business,https://facultyinfo.unt.edu/faculty-profile?profile=jb0848#current-teaching
Jackson Patton,Adjunct Faculty,95,"Finance, Insurance, Real Estate and Law",College of Business,https://facultyinfo.unt.edu/faculty-profile?profile=jwp0017#current-teaching
Justin Williams,Adjunct Faculty,96,"Finance, Insurance, Real Estate and Law",College of Business,https://facultyinfo.unt.edu/faculty-profile?profile=jtw0310#current-teaching
Manal F. Keen,Adjunct Faculty,97,"Finance, Insurance, Real Estate and Law",College of Business,https://facultyinfo.unt.edu/faculty-profile?profile=mff0002#current-teaching
Michael Ware,Adjunct Faculty,98,"Finance, Insurance, Real Estate and Law",College of Business,https://facultyinfo.unt.edu/faculty-profile?profile=mdw0078#current-teaching
Natalie Boyd,Adjunct Faculty,99,"Finance, Insurance, Real Estate and Law",College of Business,https://facultyinfo.unt.edu/faculty-profile?profile=nnb0020#current-teaching
Nicholas Frost,Adjunct Faculty,100,"Finance, Insurance, Real Estate and Law",College of Business,https://facultyinfo.unt.edu/faculty-profile?profile=nef0033#current-teaching
Paul Panza,Adjunct Faculty,101,"Finance, Insurance, Real Estate and Law",College of Business,https://facultyinfo.unt.edu/faculty-profile?profile=pnp0050#current-teaching
Paula Hester,Adjunct Faculty,102,"Finance, Insurance, Real Estate and Law",College of Business,https://facultyinfo.unt.edu/faculty-profile?profile=phh0007#current-teaching
Randal G. Sahm,Adjunct Faculty,103,"Finance, Insurance, Real Estate and Law",College of Business,https://facultyinfo.unt.edu/faculty-profile?profile=rgs0045#current-teaching
Rick Fair,Adjunct Faculty,104,"Finance, Insurance, Real Estate and Law",College of Business,https://facultyinfo.unt.edu/faculty-profile?profile=rhf0022#current-teaching
Sally Carne,Adjunct Faculty,105,"Finance, Insurance, Real Estate and Law",College of Business,https://facultyinfo.unt.edu/faculty-profile?profile=slc0020#current-teaching
Scott Smith,Adjunct Faculty,106,"Finance, Insurance, Real Estate and Law",College of Business,https://facultyinfo.unt.edu/faculty-profile?profile=sls0914#current-teaching
Shonda T. Buckhaulton,Adjunct Faculty,107,"Finance, Insurance, Real Estate and Law",College of Business,https://facultyinfo.unt.edu/faculty-profile?profile=sat0289#current-teaching
Wei Hao,Adjunct Faculty,108,"Finance, Insurance, Real Estate and Law",College of Business,https://facultyinfo.unt.edu/faculty-profile?profile=wh0156#current-teaching
Zachary Montgomery,Adjunct Faculty,109,"Finance, Insurance, Real Estate and Law",College of Business,https://facultyinfo.unt.edu/faculty-profile?profile=zjm0060#current-teaching
Austin H. Hill-Kleespie,Assistant Professor,110,"Finance, Insurance, Real Estate and Law",College of Business,https://facultyinfo.unt.edu/faculty-profile?profile=ahh0084#current-teaching
Lezgin Ay,Assistant Professor,111,"Finance, Insurance, Real Estate and Law",College of Business,https://facultyinfo.unt.edu/faculty-profile?profile=la0445#current-teaching
Meredith E. Rhodes,Assistant Professor,112,"Finance, Insurance, Real Estate and Law",College of Business,https://facultyinfo.unt.edu/faculty-profile?profile=mer0225#current-teaching
Nga Q. Nguyen,Assistant Professor,113,"Finance, Insurance, Real Estate and Law",College of Business,https://facultyinfo.unt.edu/faculty-profile?profile=nqn0010#current-teaching
Stephen R. Owen,Assistant Professor,114,"Finance, Insurance, Real Estate and Law",College of Business,https://facultyinfo.unt.edu/faculty-profile?profile=sro0066#current-teaching
Zinat S. Alam,Assistant Professor,115,"Finance, Insurance, Real Estate and Law",College of Business,https://facultyinfo.unt.edu/faculty-profile?profile=zsa0027#current-teaching
John Puthenpurackal,Associate Dean,116,"Finance, Insurance, Real Estate and Law",College of Business,https://facultyinfo.unt.edu/faculty-profile?profile=jp0862#current-teaching
Jianren Xu,Associate Professor,117,"Finance, Insurance, Real Estate and Law",College of Business,https://facultyinfo.unt.edu/faculty-profile?profile=jx0054#current-teaching
Nat Pope,Associate Professor,118,"Finance, Insurance, Real Estate and Law",College of Business,https://facultyinfo.unt.edu/faculty-profile?profile=np0277#current-teaching
Takeshi Nishikawa,Associate Professor,119,"Finance, Insurance, Real Estate and Law",College of Business,https://facultyinfo.unt.edu/faculty-profile?profile=tn0226#current-teaching
Tomas Mantecon,Associate Professor,120,"Finance, Insurance, Real Estate and Law",College of Business,https://facultyinfo.unt.edu/faculty-profile?profile=tm0176#current-teaching
Xun Bian,Associate Professor,121,"Finance, Insurance, Real Estate and Law",College of Business,https://facultyinfo.unt.edu/faculty-profile?profile=xb0017#current-teaching
"Yi ""Ian"" Liu",Associate Professor,122,"Finance, Insurance, Real Estate and Law",College of Business,https://facultyinfo.unt.edu/faculty-profile?profile=yl0236#current-teaching
Yingchun Liu,Associate Professor,123,"Finance, Insurance, Real Estate and Law",College of Business,https://facultyinfo.unt.edu/faculty-profile?profile=yl0476#current-teaching
Stephen Ferris,Chair,124,"Finance, Insurance, Real Estate and Law",College of Business,https://facultyinfo.unt.edu/faculty-profile?profile=spf0064#current-teaching
Amir Fard,Clinical Assistant Professor,125,"Finance, Insurance, Real Estate and Law",College of Business,https://facultyinfo.unt.edu/faculty-profile?profile=af0677#current-teaching
Amy Cyr,Clinical Assistant Professor,126,"Finance, Insurance, Real Estate and Law",College of Business,https://facultyinfo.unt.edu/faculty-profile?profile=adc0497#current-teaching
Mark A. Evers,Clinical Assistant Professor,127,"Finance, Insurance, Real Estate and Law",College of Business,https://facultyinfo.unt.edu/faculty-profile?profile=mae0246#current-teaching
Nima Ebrahimi,Clinical Assistant Professor,128,"Finance, Insurance, Real Estate and Law",College of Business,https://facultyinfo.unt.edu/faculty-profile?profile=ne0157#current-teaching
Marilyn K. Wiley,Dean,129,"Finance, Insurance, Real Estate and Law",College of Business,https://facultyinfo.unt.edu/faculty-profile?profile=mkw0126#current-teaching
Dan C. Ham,Lecturer,130,"Finance, Insurance, Real Estate and Law",College of Business,https://facultyinfo.unt.edu/faculty-profile?profile=dch0201#current-teaching
Lance B. Metcalf,Lecturer,131,"Finance, Insurance, Real Estate and Law",College of Business,https://facultyinfo.unt.edu/faculty-profile?profile=lbm0106#current-teaching
Marcus M. Moffitt,Lecturer,132,"Finance, Insurance, Real Estate and Law",College of Business,https://facultyinfo.unt.edu/faculty-profile?profile=mmm0006#current-teaching
Michael Gallo,Lecturer,133,"Finance, Insurance, Real Estate and Law",College of Business,https://facultyinfo.unt.edu/faculty-profile?profile=mpg0095#current-teaching
John S. Baen,Professor,134,"Finance, Insurance, Real Estate and Law",College of Business,https://facultyinfo.unt.edu/faculty-profile?profile=jsb0023#current-teaching
Niranjan Tripathy,Professor,135,"Finance, Insurance, Real Estate and Law",College of Business,https://facultyinfo.unt.edu/faculty-profile?profile=nt0013#current-teaching
Stuart L. Gillan,Professor,136,"Finance, Insurance, Real Estate and Law",College of Business,https://facultyinfo.unt.edu/faculty-profile?profile=slg0319#current-teaching
Yu-Luen Ma,Professor,137,"Finance, Insurance, Real Estate and Law",College of Business,https://facultyinfo.unt.edu/faculty-profile?profile=ym0207#current-teaching
Adam T. Whitten,Senior Lecturer,138,"Finance, Insurance, Real Estate and Law",College of Business,https://facultyinfo.unt.edu/faculty-profile?profile=atw0005#current-teaching
Benjamin Hart,Senior Lecturer,139,"Finance, Insurance, Real Estate and Law",College of Business,https://facultyinfo.unt.edu/faculty-profile?profile=bsh0168#current-teaching
Thomas C. Williams,Senior Lecturer,140,"Finance, Insurance, Real Estate and Law",College of Business,https://facultyinfo.unt.edu/faculty-profile?profile=tcw0095#current-teaching
Chi Wang,Teaching Fellow,141,"Finance, Insurance, Real Estate and Law",College of Business,https://facultyinfo.unt.edu/faculty-profile?profile=cw0697#current-teaching
Hau Cong Tran,Teaching Fellow,142,"Finance, Insurance, Real Estate and Law",College of Business,https://facultyinfo.unt.edu/faculty-profile?profile=hct0034#current-teaching
Kiran Modi,Teaching Fellow,143,"Finance, Insurance, Real Estate and Law",College of Business,https://facultyinfo.unt.edu/faculty-profile?profile=krm0337#current-teaching
Nancy He,Teaching Fellow,144,"Finance, Insurance, Real Estate and Law",College of Business,https://facultyinfo.unt.edu/faculty-profile?profile=yh0339#current-teaching
Umesh Jaiswal,Teaching Fellow,145,"Finance, Insurance, Real Estate and Law",College of Business,https://facultyinfo.unt.edu/faculty-profile?profile=ukj0001#current-teaching
Vivek Acharya,Teaching Fellow,146,"Finance, Insurance, Real Estate and Law",College of Business,https://facultyinfo.unt.edu/faculty-profile?profile=va0156#current-teaching
Yachen Cui,Teaching Fellow,147,"Finance, Insurance, Real Estate and Law",College of Business,https://facultyinfo.unt.edu/faculty-profile?profile=yc0382#current-teaching
Youngkwang Kwon,Teaching Fellow,148,"Finance, Insurance, Real Estate and Law",College of Business,https://facultyinfo.unt.edu/faculty-profile?profile=yk0254#current-teaching
Yuchen Qi,Teaching Fellow,149,"Finance, Insurance, Real Estate and Law",College of Business,https://facultyinfo.unt.edu/faculty-profile?profile=yq0032#current-teaching
Arash Negahban,,150,Information Technology and Decision Sciences,College of Business,https://facultyinfo.unt.edu/faculty-profile?profile=an0199#current-teaching
Abraham K. John,Adjunct Faculty,151,Information Technology and Decision Sciences,College of Business,https://facultyinfo.unt.edu/faculty-profile?profile=akj0001#current-teaching
Aprille Lim,Adjunct Faculty,152,Information Technology and Decision Sciences,College of Business,https://facultyinfo.unt.edu/faculty-profile?profile=arl0221#current-teaching
Azhar Merchant,Adjunct Faculty,153,Information Technology and Decision Sciences,College of Business,https://facultyinfo.unt.edu/faculty-profile?profile=aam0260#current-teaching
Bradford Love,Adjunct Faculty,154,Information Technology and Decision Sciences,College of Business,https://facultyinfo.unt.edu/faculty-profile?profile=bal0134#current-teaching
Farzad Kamalzadeh,Adjunct Faculty,155,Information Technology and Decision Sciences,College of Business,https://facultyinfo.unt.edu/faculty-profile?profile=hk0913#current-teaching
Jennifer Lyles,Adjunct Faculty,156,Information Technology and Decision Sciences,College of Business,https://facultyinfo.unt.edu/faculty-profile?profile=jbl0155#current-teaching
Jennifer M. Boyd,Adjunct Faculty,157,Information Technology and Decision Sciences,College of Business,https://facultyinfo.unt.edu/faculty-profile?profile=jmb0908#current-teaching
Kiran Hosahalli,Adjunct Faculty,158,Information Technology and Decision Sciences,College of Business,https://facultyinfo.unt.edu/faculty-profile?profile=kh0729#current-teaching
Lauren Williams,Adjunct Faculty,159,Information Technology and Decision Sciences,College of Business,https://facultyinfo.unt.edu/faculty-profile?profile=law0274#current-teaching
Masood Aly khan Pathan,Adjunct Faculty,160,Information Technology and Decision Sciences,College of Business,https://facultyinfo.unt.edu/faculty-profile?profile=map0643#current-teaching
Mofid Nakhaei,Adjunct Faculty,161,Information Technology and Decision Sciences,College of Business,https://facultyinfo.unt.edu/faculty-profile?profile=mn0731#current-teaching
Reza Sajjadi,Adjunct Faculty,162,Information Technology and Decision Sciences,College of Business,https://facultyinfo.unt.edu/faculty-profile?profile=ss4915#current-teaching
Tony Fuller,Adjunct Faculty,163,Information Technology and Decision Sciences,College of Business,https://facultyinfo.unt.edu/faculty-profile?profile=tff0004#current-teaching
Tresia Eaves,Adjunct Faculty,164,Information Technology and Decision Sciences,College of Business,https://facultyinfo.unt.edu/faculty-profile?profile=tde0022#current-teaching
Vijay Koju,Adjunct Faculty,165,Information Technology and Decision Sciences,College of Business,https://facultyinfo.unt.edu/faculty-profile?profile=vk1008#current-teaching
Aaron Bonnett,Assistant Professor,166,Information Technology and Decision Sciences,College of Business,https://facultyinfo.unt.edu/faculty-profile?profile=ab0988#current-teaching
Anto Verghese,Assistant Professor,167,Information Technology and Decision Sciences,College of Business,https://facultyinfo.unt.edu/faculty-profile?profile=av0970#current-teaching
Ari Wigdor,Assistant Professor,168,Information Technology and Decision Sciences,College of Business,https://facultyinfo.unt.edu/faculty-profile?profile=abw0197#current-teaching
Chih-Hao (Justin) Ku,Assistant Professor,169,Information Technology and Decision Sciences,College of Business,https://facultyinfo.unt.edu/faculty-profile?profile=ck0122#current-teaching
Dmitry Anokhin,Assistant Professor,170,Information Technology and Decision Sciences,College of Business,https://facultyinfo.unt.edu/faculty-profile?profile=da0738#current-teaching
Foad Hassanmirzaei,Assistant Professor,171,Information Technology and Decision Sciences,College of Business,https://facultyinfo.unt.edu/faculty-profile?profile=fh0119#current-teaching
Kane Smith,Assistant Professor,172,Information Technology and Decision Sciences,College of Business,https://facultyinfo.unt.edu/faculty-profile?profile=ks1147#current-teaching
Kashif Saeed,Assistant Professor,173,Information Technology and Decision Sciences,College of Business,https://facultyinfo.unt.edu/faculty-profile?profile=ks0776#current-teaching
Laurie G. Giddens,Assistant Professor,174,Information Technology and Decision Sciences,College of Business,https://facultyinfo.unt.edu/faculty-profile?profile=lgg0070#current-teaching
Maryam Khatami,Assistant Professor,175,Information Technology and Decision Sciences,College of Business,https://facultyinfo.unt.edu/faculty-profile?profile=mk1642#current-teaching
Michel Fathi,Assistant Professor,176,Information Technology and Decision Sciences,College of Business,https://facultyinfo.unt.edu/faculty-profile?profile=mf0427#current-teaching
Hakan Tarakci,Associate Professor,177,Information Technology and Decision Sciences,College of Business,https://facultyinfo.unt.edu/faculty-profile?profile=ht0111#current-teaching
Hoon Seok Choi,Associate Professor,178,Information Technology and Decision Sciences,College of Business,https://facultyinfo.unt.edu/faculty-profile?profile=hc0550#current-teaching
